time,lon,lat,ID,Depth,PP_8D,PP_M
01/05/2011 13:49,-81.545,7.403,101503a,-284.682,947.829789,862.0786467
01/05/2011 15:12,-81.567,7.416,101503a,-253.7504,971.0250437,867.4214074
01/05/2011 17:28,-81.508,7.423,101503a,-499.7664,955.1362669,871.7299043
01/05/2011 19:13,-81.49,7.46,101503a,-567.92,978.5864715,871.4366149
04/05/2011 02:45,-81.72,7.614,101503a,1.768,884.610734,880.8428213
04/05/2011 04:26,-81.617,7.621,101503a,-166.1856,882.9948855,915.3622158
04/05/2011 05:53,-81.607,7.648,101503a,-62.1552,897.8286446,909.718313
04/05/2011 07:26,-81.571,7.584,101503a,-206.8856,963.4850141,942.5700016
04/05/2011 09:13,-81.677,7.672,101503a,-22.9568,860.1175991,859.9437341
04/05/2011 10:52,-81.662,7.675,101503a,-35.36,869.4719171,861.6120878
04/05/2011 11:34,-81.672,7.637,101503a,-31.7232,858.4505867,883.3922836
04/05/2011 12:21,-81.664,7.64,101503a,-36.048,859.6137077,883.2454111
07/05/2011 08:56,-82.157,7.932,101503a,-39.3,719.5657801,727.3605765
07/05/2011 12:51,-82.179,7.915,101503a,-32.256,703.5931456,719.5257861
07/05/2011 14:23,-82.252,7.903,101503a,-46.4216,709.9437294,758.8982904
07/05/2011 20:12,-82.337,8.025,101503a,-25.88,1007.614419,1020.723708
10/05/2011 02:23,-82.476,7.724,101503a,-1011.6064,711.1322631,692.7215805
10/05/2011 03:58,-82.365,7.729,101503a,-235.918,740.7732419,725.195039
10/05/2011 06:24,-82.509,7.72,101503a,-1323.172,707.9182019,677.3116003
10/05/2011 08:08,-82.527,7.72,101503a,-1514.372,707.2555482,672.3586916
10/05/2011 11:44,-82.531,7.71,101503a,-1696.084,700.1443885,657.3977333
10/05/2011 16:37,-82.511,7.63,101503a,-1598.752,644.4993517,636.4176681
10/05/2011 19:33,-82.448,7.692,101503a,-938.4896,690.8640326,668.1541653
10/05/2011 21:12,-82.511,7.688,101503a,-1686.7088,682.2263826,651.4881826
10/05/2011 22:51,-82.434,7.688,101503a,-851.2352,691.4377815,672.5258503
13/05/2011 02:05,-82.087,7.596,101503a,-790.9976,764.1257667,714.3808468
13/05/2011 03:04,-82.044,7.615,101503a,-779.34,812.3612336,727.7088011
13/05/2011 08:55,-82.047,7.657,101503a,-536.7696,799.2466494,725.4555692
13/05/2011 14:00,-81.823,7.564,101503a,102.1792,931.0561569,772.3001837
13/05/2011 19:00,-81.931,7.718,101503a,-52.3344,832.9287999,715.5845023
13/05/2011 21:36,-81.926,7.705,101503a,-44.932,831.2391659,714.8624119
